STATE,FUNDING,POPULATION,BIDEN_WON,COLOR,PER_CAPITA_FUNDING
ALABAMA,3.0,5074296,NO,red,591.2150178073963
ALASKA,3.7,733583,NO,red,5043.737382136718
ARIZONA,3.5,7359197,YES,blue,475.5953672662928
ARKANSAS,2.8,3045637,NO,red,919.3479065298983
CALIFORNIA,18.4,39029342,YES,blue,471.4401795449178
COLORADO,3.2,5839926,YES,blue,547.9521487087336
CONNECTICUT,2.5,3626205,YES,blue,689.4259977028325
DISTRICT OF COLUMBIA,1.1,671803,YES,blue,1637.3847690468783
FLORIDA,8.2,22244823,NO,red,368.6250953761241
GEORGIA,5.0,10912876,YES,blue,458.1743621021626
HAWAII,1.0,1440196,YES,blue,694.3499357031959
IDAHO,1.2,1939033,NO,red,618.8651766112284
ILLINOIS,8.4,12582032,YES,blue,667.6187121444294
INDIANA,3.4,6833037,NO,red,497.582553701963
IOWA,2.4,3200517,NO,red,749.8788476986687
KANSAS,1.5,2937150,NO,red,510.6991471324243
KENTUCKY,3.9,4512310,NO,red,864.3023196544564
LOUISIANA,4.3,4590241,NO,red,936.7699865867609
MAINE,1.1,1385340,YES,blue,794.0289026520566
MARYLAND,2.7,6164660,YES,blue,437.9803590141224
MASSACHUSETTS,3.6,6981974,YES,blue,515.6134926884574
MICHIGAN,5.2,10034113,YES,blue,518.2321546508396
MINNESOTA,2.7,5717184,YES,blue,472.2604694898747
MISSISSIPPI,2.3,2940057,NO,red,782.2977581727157
MISSOURI,3.8,6177957,NO,red,615.090069419389
MONTANA,3.3,1122867,NO,red,2938.9054981578406
NEBRASKA,1.3,1967923,NO,red,660.5949521398957
NEVADA,1.7,3177772,YES,blue,534.9660076305034
NEW HAMPSHIRE,0.7518,1395231,YES,blue,538.8355046583684
NEW JERSEY,5.1,9261699,YES,blue,550.6549068372876
NEW MEXICO,2.6,2113344,YES,blue,1230.2777020683807
NEW YORK,10.1,19677151,YES,blue,513.2856885633495
NORTH CAROLINA,4.5,10698973,NO,red,420.60111750912915
NORTH DAKOTA,1.8,779261,NO,red,2309.8807716541696
OHIO,6.6,11756058,NO,red,561.4126776169359
OKLAHOMA,2.9,4019800,NO,red,721.4289268122792
OREGON,2.3,4240137,YES,blue,542.4353033876029
PENNSYLVANIA,8.1,12972008,YES,blue,624.4214465485991
RHODE ISLAND,1.1,1093734,YES,blue,1005.7289980927721
SOUTH CAROLINA,2.3,5282634,NO,red,435.388860935662
SOUTH DAKOTA,1.3,909824,NO,red,1428.8477771525042
TENNESSEE,3.7,7051339,NO,red,524.7230348732347
TEXAS,14.2,30029572,NO,red,472.8672123598698
UTAH,1.8,3380800,NO,red,532.4183625177473
VERMONT,0.8521,647064,YES,blue,1316.8712832115525
VIRGINIA,4.5,8683619,YES,blue,518.2171166192345
WASHINGTON,4.0,7785786,YES,blue,513.7567356719027
WEST VIRGINIA,2.0,1775156,NO,red,1126.6615441121794
WISCONSIN,2.8,5892539,YES,blue,475.1771689589157
