DATE,PCEPILFE
2013-01-01,100.871
2013-02-01,100.992
2013-03-01,101.085
2013-04-01,101.163
2013-05-01,101.272
2013-06-01,101.438
2013-07-01,101.567
2013-08-01,101.685
2013-09-01,101.799
2013-10-01,102.015
2013-11-01,102.194
2013-12-01,102.333
2014-01-01,102.426
2014-02-01,102.489
2014-03-01,102.684
2014-04-01,102.879
2014-05-01,103.061
2014-06-01,103.18
2014-07-01,103.369
2014-08-01,103.408
2014-09-01,103.536
2014-10-01,103.629
2014-11-01,103.74
2014-12-01,103.837
2015-01-01,103.816
2015-02-01,103.92
2015-03-01,104.08
2015-04-01,104.256
2015-05-01,104.385
2015-06-01,104.511
2015-07-01,104.603
2015-08-01,104.679
2015-09-01,104.814
2015-10-01,104.829
2015-11-01,104.94
2015-12-01,105.009
2016-01-01,105.204
2016-02-01,105.369
2016-03-01,105.521
2016-04-01,105.786
2016-05-01,105.948
2016-06-01,106.077
2016-07-01,106.257
2016-08-01,106.456
2016-09-01,106.579
2016-10-01,106.737
2016-11-01,106.789
2016-12-01,106.929
2017-01-01,107.205
2017-02-01,107.414
2017-03-01,107.364
2017-04-01,107.62
2017-05-01,107.719
2017-06-01,107.876
2017-07-01,107.941
2017-08-01,108.074
2017-09-01,108.215
2017-10-01,108.499
2017-11-01,108.582
2017-12-01,108.742
2018-01-01,109.08
2018-02-01,109.311
2018-03-01,109.562
2018-04-01,109.75
2018-05-01,109.956
2018-06-01,110.073
2018-07-01,110.219
2018-08-01,110.246
2018-09-01,110.476
2018-10-01,110.626
2018-11-01,110.831
2018-12-01,111.009
2019-01-01,111.134
2019-02-01,111.207
2019-03-01,111.35
2019-04-01,111.65
2019-05-01,111.773
2019-06-01,112.0
2019-07-01,112.157
2019-08-01,112.27
2019-09-01,112.339
2019-10-01,112.496
2019-11-01,112.524
2019-12-01,112.772
2020-01-01,113.008
2020-02-01,113.206
2020-03-01,113.143
2020-04-01,112.668
2020-05-01,112.819
2020-06-01,113.051
2020-07-01,113.425
2020-08-01,113.782
2020-09-01,113.979
2020-10-01,114.017
2020-11-01,114.048
2020-12-01,114.422
2021-01-01,114.782
2021-02-01,114.975
2021-03-01,115.457
2021-04-01,116.186
2021-05-01,116.787
2021-06-01,117.349
2021-07-01,117.811
2021-08-01,118.199
2021-09-01,118.446
2021-10-01,118.929
2021-11-01,119.543
2021-12-01,120.193
2022-01-01,120.761
2022-02-01,121.205
2022-03-01,121.651
2022-04-01,122.03
2022-05-01,122.488
2022-06-01,123.258
2022-07-01,123.352
2022-08-01,124.031
2022-09-01,124.607
2022-10-01,124.998
2022-11-01,125.277
2022-12-01,125.746
2023-01-01,126.422
2023-02-01,126.847
2023-03-01,127.257
2023-04-01,127.655
2023-05-01,128.029
2023-06-01,128.302
2023-07-01,128.579
