DATE,INFLATION
1960-01-01,1.46
1961-01-01,1.07
1962-01-01,1.2
1963-01-01,1.24
1964-01-01,1.28
1965-01-01,1.59
1966-01-01,3.02
1967-01-01,2.77
1968-01-01,4.27
1969-01-01,5.46
1970-01-01,5.84
1971-01-01,4.29
1972-01-01,3.27
1973-01-01,6.18
1974-01-01,11.05
1975-01-01,9.14
1976-01-01,5.74
1977-01-01,6.5
1978-01-01,7.63
1979-01-01,11.25
1980-01-01,13.55
1981-01-01,10.33
1982-01-01,6.13
1983-01-01,3.21
1984-01-01,4.3
1985-01-01,3.55
1986-01-01,1.9
1987-01-01,3.66
1988-01-01,4.08
1989-01-01,4.83
1990-01-01,5.4
1991-01-01,4.23
1992-01-01,3.03
1993-01-01,2.95
1994-01-01,2.61
1995-01-01,2.81
1996-01-01,2.93
1997-01-01,2.34
1998-01-01,1.55
1999-01-01,2.19
2000-01-01,3.38
2001-01-01,2.83
2002-01-01,1.59
2003-01-01,2.27
2004-01-01,2.68
2005-01-01,3.39
2006-01-01,3.23
2007-01-01,2.85
2008-01-01,3.84
2009-01-01,-0.36
2010-01-01,1.64
2011-01-01,3.16
2012-01-01,2.07
2013-01-01,1.46
2014-01-01,1.62
2015-01-01,0.12
2016-01-01,1.26
2017-01-01,2.13
2018-01-01,2.44
2019-01-01,1.81
2020-01-01,1.23
2021-01-01,4.7
2022-01-01,8.0
