state_abbrev,giffords_grade,grade
NJ,A,4.0
CA,A,4.0
NY,A-,3.7
MD,A-,3.7
MA,A-,3.7
IL,A-,3.7
HI,A-,3.7
CT,A-,3.7
WA,B+,3.3
RI,B+,3.3
OR,B+,3.3
VA,B,3.0
DE,B,3.0
CO,B,3.0
PA,B-,2.7
NV,C+,2.3
NM,C+,2.3
MN,C+,2.3
MI,C+,2.3
NE,C,2.0
NC,C,2.0
DC,C,2.0
VT,C-,1.7
FL,C-,1.7
WI,D+,1.3
WY,F,0.0
WV,F,0.0
UT,F,0.0
TX,F,0.0
TN,F,0.0
SD,F,0.0
SC,F,0.0
OK,F,0.0
OH,F,0.0
NH,F,0.0
ND,F,0.0
MT,F,0.0
MS,F,0.0
MO,F,0.0
ME,F,0.0
LA,F,0.0
KY,F,0.0
KS,F,0.0
IN,F,0.0
ID,F,0.0
IA,F,0.0
GA,F,0.0
AZ,F,0.0
AR,F,0.0
AL,F,0.0
AK,F,0.0
