Year,Central Pressure(mb),Max Winds(kt),Storm Names,Landfall Country
1991,962,90,Bob,USA
1992,922,145,Andrew,USA
1993,961,100,Emily,USA
1995,973,85,Erin,USA
1995,942,100,Opal,USA
1996,974,90,Bertha,USA
1996,954,100,Fran,USA
1997,984,70,Danny,USA
1998,964,95,Bonnie,USA
1998,987,70,Earl,USA
1998,964,90,Georges,USA
1999,951,100,Bret,USA
1999,956,90,Floyd,USA
1999,964,95,Irene,USA
2002,963,80,Lili,USA
2003,979,80,Claudette,USA
2003,957,90,Isabel,USA
2004,972,70,Alex,USA
2004,941,130,Charley,USA
2004,985,65,Gaston,USA
2004,960,90,Frances,USA
2004,946,105,Ivan,USA
2004,950,105,Jeanne,USA
2005,991,65,Cindy,USA
2005,946,105,Dennis,USA
2005,920,110,Katrina,USA
2005,982,65,Ophelia,USA
2005,937,100,Rita,USA
2005,950,105,Wilma,USA
2007,985,80,Humberto,USA
2008,967,75,Dolly,USA
2008,954,90,Gustav,USA
2008,950,95,Ike,USA
2011,952,75,Irene,USA
2012,966,70,Isaac,USA
2012,942,65,Sandy,USA
2014,973,85,Arthur,USA
2016,981,70,Hermine,USA
2016,963,85,Matthew,USA
2017,937,115,Harvey,USA
2017,931,115,Irma,USA
2017,983,65,Nate,USA
2018,956,80,Florence,USA
2018,919,140,Michael,USA
2019,993,65,Barry,USA
2019,956,85,Dorian,USA
2020,973,80,Hanna,USA
2020,986,80,Isaias,USA
2020,939,130,Laura,USA
2020,965,95,Sally,USA
2020,970,85,Delta,USA
2020,970,100,Zeta,USA
2021,931,130,Ida,USA
2021,991,65,Nicholas,USA
2022,941,130,Ian,USA
